"Male","Age","Debt","Married","EducationLevel","Ethnicity","YearsEmployed","PriorDefault","Employed","CreditScore","DriversLicense","Citizen","ZipCode","Income","Approved"
1,28,5,1,8,5,2,1,1,8,1,2,144,8,1
1,40,22,2,10,9,20,1,1,11,0,2,0,1201,1
1,37,4,2,11,4,4,0,0,0,0,2,454,51,0
1,26,0,2,4,8,4,0,0,0,1,2,340,1,0
1,30,4,2,8,4,0,0,0,0,0,2,216,1,0
1,23,0,2,4,4,1,0,1,11,0,1,0,1,0
0,32,1,2,9,4,1,1,1,16,0,2,120,2080,1
1,25,4,2,13,4,1,1,1,7,0,2,0,7060,1
0,35,4,2,1,1,0,0,1,6,0,2,0,201,0
0,19,10,2,2,4,0,0,0,0,0,2,80,43,0
1,40,5,2,3,5,0,0,0,0,0,2,550,1,0
1,23,1,2,8,4,1,0,0,0,1,1,280,1,0
1,38,0,2,8,4,0,0,0,0,0,3,184,1,1
0,25,14,2,11,8,2,0,0,0,0,2,280,2,0
0,47,13,2,3,5,5,1,1,9,1,2,0,1,1
1,34,5,2,9,4,0,0,0,0,1,2,290,7,1
1,22,1,1,1,1,0,0,0,0,0,2,100,1,0
1,28,1,2,4,8,0,0,0,0,1,1,140,1,0
1,43,4,2,6,4,0,0,0,0,0,2,108,101,0
1,29,15,2,2,4,0,0,0,0,0,2,0,287,0
1,36,5,2,8,5,3,1,1,6,0,2,0,368,1
0,18,10,1,11,8,0,0,0,0,0,2,340,1,0
1,21,2,2,9,4,2,0,0,0,0,2,150,9,1
0,39,2,2,6,4,0,0,0,0,0,2,0,391,0
1,32,0,1,7,4,0,0,0,0,0,2,0,1,0
0,17,10,2,6,4,2,0,1,10,1,2,0,11,0
0,20,1,2,11,4,2,1,1,1,0,2,0,1,1
0,39,4,2,8,4,3,0,0,0,0,2,480,1,0
1,39,0,2,4,4,0,1,0,0,1,2,280,1,1
1,28,14,2,9,4,6,1,0,0,1,2,487,501,1
1,28,1,1,13,4,0,1,1,2,0,2,260,501,1
1,19,0,1,1,1,0,0,1,4,0,2,45,2,0
0,25,1,2,14,8,1,1,0,0,1,2,160,5861,1
1,28,2,2,14,8,1,1,1,4,0,2,140,7545,1
1,22,9,2,6,4,0,0,0,0,0,2,0,1,0
0,50,14,2,4,8,9,1,0,0,1,2,0,1,1
1,32,3,2,8,4,1,0,0,0,1,2,280,1,0
1,38,10,1,4,4,0,0,0,0,0,2,160,1,0
1,47,7,2,8,4,1,0,0,0,1,2,0,229,0
1,28,4,1,3,8,6,1,1,2,1,2,75,1,0
0,36,1,2,6,4,1,1,1,4,0,2,0,1584,1
1,34,0,2,3,5,4,0,0,0,1,1,420,1,0
1,34,0,1,7,5,0,1,1,1,1,2,280,2001,1
0,21,10,2,13,8,0,1,1,1,1,2,80,51,1
1,33,1,2,14,4,1,1,1,7,1,2,340,4072,1
1,23,11,2,11,4,3,1,1,7,1,2,100,810,1
1,49,9,2,8,8,13,1,1,9,0,2,181,1656,1
1,41,5,2,8,4,5,1,1,7,0,2,0,3066,1
1,21,1,1,8,4,2,0,0,0,1,1,240,1,0
0,39,2,2,1,1,0,0,0,0,0,2,76,1,0
0,57,20,2,8,4,6,1,1,7,0,2,0,3001,1
0,31,4,2,13,8,1,1,1,9,1,2,181,1,1
1,22,1,2,9,4,0,0,1,1,0,2,420,284,0
0,58,10,2,11,4,4,1,1,14,0,2,0,1603,1
1,29,0,2,8,4,0,0,0,0,0,2,220,141,0
0,46,4,2,5,3,0,1,0,0,0,2,100,961,1
1,21,3,1,2,4,1,1,1,8,1,2,160,2,1
0,25,13,2,6,4,2,1,1,12,1,2,120,568,1
0,21,1,1,10,2,1,0,0,0,0,2,260,1,0
1,25,14,1,1,1,0,0,0,0,0,2,184,1,0
0,27,3,1,8,4,0,0,0,0,0,1,80,1,0
1,41,1,2,1,1,0,1,0,0,0,2,130,2,0
0,38,4,2,8,4,0,0,0,0,0,2,160,1,0
1,20,1,2,1,1,0,0,1,3,0,2,350,770,0
1,39,10,2,7,4,7,1,1,14,0,2,240,4608,1
1,26,1,2,8,4,1,1,1,5,1,2,312,1,1
0,46,3,2,8,4,2,1,1,8,1,2,396,4160,1
1,20,10,1,4,8,1,1,0,0,1,2,140,1,0
0,22,1,1,1,1,3,0,0,0,0,2,280,1,0
1,19,4,1,1,1,0,0,0,0,1,2,180,2,0
1,64,20,2,14,8,18,1,1,9,1,2,0,1001,1
0,17,1,2,11,4,0,0,1,1,0,2,108,99,0
0,69,15,2,10,9,0,1,1,14,0,2,0,3377,1
1,77,22,2,10,9,13,1,1,1,1,2,0,110,1
0,16,3,2,11,4,0,0,0,0,0,2,120,1,0
1,35,4,2,2,5,13,1,0,0,1,2,184,1,0
0,47,8,2,10,5,7,1,1,6,0,2,375,51101,1
1,23,0,2,8,4,0,0,0,0,0,3,184,1,1
1,45,2,2,8,4,3,1,0,0,1,2,140,1,0
1,15,7,2,10,4,1,0,0,0,0,2,600,1,0
1,19,0,1,8,4,0,0,1,1,0,2,200,2,0
1,53,7,2,4,4,6,1,1,15,0,2,0,11203,1
1,19,0,1,7,5,0,0,0,0,1,1,500,2,1
1,18,0,2,11,7,0,0,0,0,0,2,200,41,1
1,38,1,2,10,4,0,0,0,0,0,2,120,6,0
1,23,2,1,9,4,3,1,1,6,0,2,80,1,1
1,48,4,2,14,5,0,0,0,0,1,2,520,1,0
1,34,3,2,8,4,1,0,0,0,0,2,460,17,0
0,33,2,2,2,4,1,0,0,0,1,2,0,1,0
1,43,0,1,8,4,0,1,1,8,1,2,300,163,1
1,35,4,1,3,5,9,1,1,7,1,2,195,1,1
1,43,3,2,3,5,1,1,0,0,0,2,0,201,0
1,18,0,2,2,4,0,0,0,0,1,1,280,1,0
1,23,3,2,1,1,0,0,0,0,1,2,100,4209,0
0,23,8,1,14,4,2,0,0,0,0,2,164,1,1
1,18,0,2,6,4,0,0,0,0,0,2,280,751,0
1,18,10,1,6,4,0,1,0,0,0,2,120,376,0
0,28,2,2,7,4,2,1,0,0,0,1,368,1,0
0,19,9,1,8,4,1,1,1,4,1,2,80,501,1
1,23,1,2,3,4,2,0,1,1,1,2,400,10,0
1,63,13,1,8,8,5,1,0,0,0,2,112,1,0
0,24,9,2,11,4,9,1,1,5,1,2,120,1,1
1,35,3,2,14,8,4,1,0,0,1,2,680,1,0
0,57,4,1,1,1,5,0,0,0,1,2,0,5,0
0,53,0,2,1,1,0,0,0,0,1,1,62,28,0
1,41,4,2,13,8,7,1,1,8,0,2,320,1,1
1,42,5,2,11,8,13,1,0,0,1,2,92,1,1
1,41,1,1,9,4,0,0,0,0,0,2,0,196,0
0,34,1,2,4,5,1,1,1,3,1,2,212,1,0
1,26,13,2,13,4,1,1,1,67,1,2,140,259,1
1,24,7,1,2,4,6,1,0,0,1,1,100,1,1
1,23,12,1,9,4,1,1,0,0,1,2,160,301,1
1,31,3,2,13,8,2,0,0,0,1,1,340,1,0
1,37,4,2,8,5,5,1,0,0,1,1,280,1,0
1,26,2,2,9,4,0,0,0,0,0,2,100,1,0
0,30,1,2,9,4,0,0,0,0,1,2,300,1,0
0,23,2,2,5,3,0,0,1,1,0,2,200,54,0
1,17,3,2,4,4,0,0,0,0,1,2,160,41,0
1,29,15,2,6,4,5,1,1,5,1,2,168,1,1
0,29,4,2,3,5,1,1,0,0,1,2,171,1,0
1,35,0,2,8,4,0,0,0,0,0,3,184,1,0
1,23,1,2,8,8,0,1,0,0,0,2,180,1,0
1,25,11,2,8,4,3,1,1,17,0,2,200,1209,1
0,19,8,2,11,4,3,1,1,5,0,2,184,26727,1
1,17,0,2,11,4,0,0,1,4,0,2,160,9,0
0,16,0,2,1,1,0,0,1,1,0,2,160,127,0
1,33,3,2,6,4,2,0,1,2,1,2,720,1,0
0,20,10,2,8,8,1,1,1,4,0,2,50,1466,1
0,22,2,1,5,3,0,0,0,0,0,2,160,1,0
1,33,1,2,12,8,7,1,0,0,1,2,164,31286,1
0,25,2,2,8,8,3,1,0,0,1,2,360,2,0
0,25,3,2,11,8,2,1,1,19,0,2,0,501,1
1,31,0,2,9,4,1,1,1,1,0,2,202,1,1
1,21,5,1,5,4,0,0,0,0,0,2,140,185,0
0,40,8,1,4,4,0,0,1,2,0,2,184,19,0
1,29,1,2,8,8,0,0,1,2,1,2,400,109,0
1,41,1,1,7,4,1,0,0,0,1,2,130,1,0
0,30,0,2,4,4,1,1,1,4,0,2,380,501,1
1,54,1,1,4,8,4,1,0,0,0,2,180,315,1
1,34,6,1,8,4,2,0,0,0,1,2,60,1,0
1,25,12,2,4,4,2,1,1,2,1,2,120,6,0
0,27,3,1,1,1,0,0,0,0,1,2,180,61,0
0,33,5,2,11,8,2,1,1,2,0,2,0,1,1
1,34,2,2,8,4,2,0,0,0,0,3,120,1,0
1,36,6,2,3,5,5,0,0,0,0,2,210,688,0
1,20,0,2,4,4,0,0,0,0,0,2,280,365,0
1,24,1,2,11,4,5,1,1,2,1,2,520,2001,1
0,31,7,2,8,5,4,1,1,7,1,2,0,3066,1
1,20,7,2,8,4,1,0,0,0,0,2,0,1,0
1,25,1,2,8,4,0,1,1,7,1,2,96,5125,1
1,30,5,2,7,4,2,0,1,1,1,2,460,69,0
1,43,2,2,3,5,1,1,0,0,0,2,560,1,0
1,29,1,2,4,4,1,1,0,0,0,1,280,1,0
1,32,3,1,3,5,7,0,0,0,0,2,0,2,0
1,20,10,2,10,2,0,1,0,0,0,2,0,1,1
1,45,9,2,13,8,14,1,1,1,1,2,88,2001,1
0,23,2,2,11,8,2,1,1,7,1,2,140,2385,1
0,21,3,2,11,4,0,1,1,3,0,2,100,7,1
1,28,2,2,9,4,2,0,1,1,1,2,100,4,0
1,41,2,1,14,8,10,1,0,0,1,2,176,1,0
1,56,28,1,8,4,29,1,1,40,0,2,0,16,1
0,64,0,2,1,1,0,1,1,1,0,2,232,101,1
0,22,11,1,14,8,1,1,1,4,0,2,0,322,1
0,24,3,1,3,5,5,0,0,0,0,2,200,457,0
0,70,6,2,1,1,0,0,0,0,0,1,0,1,0
1,36,1,2,4,4,2,0,0,0,1,2,231,1,0
1,48,12,2,7,4,16,1,0,0,0,1,110,1,1
0,28,15,1,10,9,0,1,0,0,0,2,0,13213,1
1,35,3,2,4,4,5,1,1,7,0,2,150,1271,1
1,50,8,2,3,5,8,1,1,15,1,2,0,5001,1
1,80,6,2,8,4,1,1,0,0,0,2,0,341,0
1,29,13,2,2,8,1,0,0,0,0,2,228,1,0
0,17,1,2,3,4,0,0,1,6,1,2,240,36,0
0,16,0,2,6,4,1,0,1,2,1,2,320,2,0
1,60,15,2,1,1,18,1,1,15,1,2,0,1001,1
1,28,2,2,4,8,4,1,1,2,1,2,181,1,1
1,42,2,2,3,5,4,0,0,0,0,2,216,1,1
1,24,9,2,6,4,0,0,0,0,1,2,0,1,0
1,25,13,1,6,4,0,0,0,0,1,2,120,476,0
1,35,15,2,12,7,5,1,1,9,1,2,0,135,1
1,34,1,2,9,4,1,0,0,0,0,2,120,1,0
0,41,10,2,11,8,2,1,0,0,0,2,29,838,1
1,20,2,2,8,4,2,1,1,1,0,2,100,151,1
1,38,1,1,2,4,2,0,0,0,1,2,431,1,1
1,49,4,2,7,4,0,1,0,0,1,2,225,1,1
1,23,1,2,7,4,1,0,0,0,1,1,320,1,0
1,35,3,2,8,8,8,0,0,0,1,2,0,1,0
1,16,3,2,6,4,1,0,1,1,0,2,80,22,0
1,23,11,2,11,8,1,1,0,0,0,2,100,1,1
0,22,12,2,8,4,0,0,0,0,1,2,180,1,0
0,25,3,1,6,4,0,1,0,0,1,2,370,1,1
1,36,2,1,9,4,0,1,1,1,0,2,50,1188,1
0,29,4,2,8,4,0,0,1,1,1,2,40,155,0
1,22,12,2,8,4,3,0,1,2,1,2,180,174,0
1,34,2,2,13,4,2,1,1,1,1,2,520,50001,1
1,35,3,2,3,4,1,0,0,0,1,2,210,1,0
1,29,4,2,6,4,0,0,0,0,1,2,100,1,0
0,19,5,2,3,8,0,0,0,0,0,2,80,485,0
1,23,1,2,8,4,1,1,0,0,0,1,300,1,1
1,17,0,2,8,4,0,0,0,0,0,2,132,1,0
0,20,0,2,11,4,1,0,1,1,0,2,240,769,1
1,22,11,2,9,4,2,1,1,1,0,2,80,279,1
1,34,5,1,3,5,1,0,0,0,1,2,480,1,0
0,57,0,2,3,5,1,1,0,0,1,2,252,2198,0
1,16,1,2,7,4,0,1,0,0,0,1,200,1,0
1,33,3,2,13,8,3,1,1,6,0,2,160,2073,1
1,48,25,2,9,4,2,1,1,3,0,2,120,15,1
1,34,3,2,3,5,3,0,0,0,1,2,232,201,0
1,18,1,1,10,2,0,0,0,0,0,2,100,1,0
1,44,1,2,7,4,11,1,0,0,0,1,400,1,0
1,39,2,2,4,4,1,0,0,0,1,2,300,3,0
1,32,1,1,6,4,4,0,0,0,1,2,320,1,0
1,25,2,2,14,4,2,1,1,1,1,2,395,21,1
1,65,11,2,10,9,20,1,1,7,1,2,22,1,1
1,41,0,2,8,5,15,1,0,0,0,2,0,1,1
1,31,1,2,1,1,0,0,1,1,0,2,96,20,0
0,37,5,2,1,1,0,0,0,0,0,2,160,1,0
1,32,8,2,10,5,2,1,0,0,1,1,420,1,0
0,32,3,2,1,1,3,0,1,2,1,2,200,5,0
1,25,3,2,8,4,2,1,1,6,0,2,184,601,1
1,22,1,1,14,4,0,1,1,1,1,2,840,60,1
1,34,3,2,13,8,7,1,0,0,1,2,0,1,1
1,52,3,1,1,1,2,0,0,0,0,2,180,5,0
0,32,2,2,1,1,0,0,1,2,1,2,200,106,0
1,38,1,2,8,4,0,0,1,2,0,2,225,501,0
1,39,2,2,14,4,0,1,1,5,1,2,480,1,1
1,18,2,2,8,7,1,0,1,2,1,2,160,588,0
1,39,5,2,13,4,4,1,1,10,1,2,0,1,1
1,20,11,2,8,4,2,0,0,0,1,2,136,1,0
1,33,2,2,2,8,6,0,0,0,1,2,292,1,0
1,19,6,2,2,4,1,0,0,0,0,2,120,1,0
0,16,8,2,11,4,0,0,1,1,1,2,0,161,0
1,39,6,2,13,8,10,1,1,14,1,2,399,1,1
0,20,1,2,9,4,2,0,0,0,0,2,220,6,0
1,21,11,2,8,4,3,1,0,0,1,2,0,1,1
0,23,1,2,8,4,2,0,1,2,1,2,200,395,0
1,26,3,2,8,8,2,0,1,1,1,2,416,22,0
1,21,10,1,10,8,1,0,0,0,0,2,260,1,0
0,49,2,2,5,3,0,1,0,0,1,2,100,28,0
1,21,5,2,11,4,0,1,1,1,0,2,160,1,0
0,20,0,2,11,8,0,1,1,11,0,2,80,100,1
1,22,0,2,2,8,1,1,0,0,1,2,0,1,1
1,27,1,2,4,1,0,0,0,0,0,2,100,1,0
0,39,5,2,13,4,14,1,0,0,1,2,980,1,0
0,50,13,2,6,4,2,1,1,3,1,2,156,1,1
0,16,0,2,8,4,1,0,0,0,0,2,120,19,0
0,25,13,2,8,5,5,1,1,2,0,2,73,445,1
1,21,5,1,9,4,2,1,1,1,1,2,80,301,1
1,22,11,2,13,4,1,1,0,0,0,2,100,1,1
1,55,9,2,1,1,14,1,1,11,1,2,30,301,1
1,18,6,2,4,4,1,1,0,0,0,2,80,1,1
1,37,4,1,4,4,0,1,1,10,1,2,320,1,1
1,38,10,2,14,4,3,1,1,6,0,2,520,197,1
1,22,2,2,4,4,0,0,0,0,1,2,356,1,0
0,52,7,2,3,5,3,0,0,0,1,2,73,1,0
1,22,2,2,3,4,0,0,0,0,0,2,160,11,0
1,52,2,2,2,4,4,0,0,0,1,2,0,351,0
0,61,5,2,6,4,4,1,1,4,0,2,0,100,1
1,20,6,2,9,4,2,1,0,0,0,1,120,1,1
1,23,4,2,8,5,0,1,0,0,1,2,160,1,1
1,36,0,1,9,4,0,0,0,0,1,2,309,3,0
0,42,2,1,8,4,0,0,0,0,1,2,150,2,0
1,24,1,2,3,8,0,0,0,0,1,2,220,6,0
0,36,1,2,8,4,2,1,1,11,0,2,0,457,1
1,40,5,2,1,1,0,0,1,2,0,2,17,2,0
0,19,4,1,8,8,3,1,0,0,0,2,240,1,1
1,27,1,2,6,4,0,1,0,0,1,2,200,1,0
1,32,3,2,2,4,0,0,0,0,1,2,120,1,0
1,19,2,1,13,4,2,1,0,0,1,2,100,21,0
0,23,11,2,11,4,0,1,1,5,1,2,0,561,1
1,40,6,2,11,4,0,1,1,1,0,2,200,301,1
1,23,0,2,8,3,2,0,0,0,1,1,0,1,1
0,23,1,1,11,4,2,1,1,2,1,2,80,401,1
0,30,5,2,10,2,2,1,1,5,1,2,99,501,1
0,40,8,1,11,8,8,1,1,14,0,2,0,2301,1
0,37,5,2,10,4,5,1,0,0,1,2,0,4001,1
1,31,2,2,8,4,0,0,0,0,0,2,300,1,0
0,25,3,2,14,8,1,1,0,0,0,2,360,1,1
1,27,13,2,6,5,0,0,0,0,1,2,720,1,0
1,32,4,2,14,4,5,1,1,3,1,2,290,2280,1
1,34,7,2,6,4,0,1,0,0,1,2,443,1,0
1,22,2,2,4,4,1,0,0,0,0,2,180,1,0
1,31,3,2,8,4,3,0,1,2,1,2,160,42,0
1,32,1,2,8,5,1,1,0,0,1,1,320,1,0
1,16,3,2,9,4,0,0,1,1,0,2,0,7,0
1,27,2,2,13,8,5,1,1,9,0,2,399,828,1
1,25,3,2,8,4,1,0,1,1,0,2,0,23,0
1,68,6,2,10,9,13,1,1,1,1,2,0,1,1
0,19,10,2,9,4,2,1,1,6,1,2,40,601,1
0,27,0,2,7,8,0,0,1,1,1,2,272,109,0
0,20,1,1,8,4,1,0,1,1,0,2,2000,3,0
1,31,2,2,2,4,1,0,0,0,1,1,0,1,0
0,50,1,2,6,4,1,0,0,0,1,2,240,118,0
1,31,2,1,9,4,0,0,0,0,0,1,160,1,0
1,52,15,2,8,4,9,1,1,9,0,2,0,1,1
0,37,0,2,1,1,0,0,1,10,0,2,200,19,0
1,34,3,2,7,4,4,1,1,6,0,2,204,1,1
0,21,3,2,6,4,0,1,0,0,0,2,100,1,1
1,36,18,2,9,4,0,0,0,0,0,2,320,3553,0
1,51,1,2,1,1,0,0,0,0,0,2,145,1,0
0,24,1,2,11,4,0,0,1,1,1,2,200,12,0
1,35,5,2,14,8,6,0,0,0,1,1,711,1,1
0,58,21,2,3,5,10,1,1,13,0,2,0,6701,1
1,28,1,2,7,4,1,1,1,3,1,2,396,1,1
1,32,1,2,4,4,0,0,0,0,0,2,380,2011,0
0,32,3,1,5,3,0,0,0,0,0,2,160,21,0
1,19,7,2,9,8,1,1,1,7,0,2,80,2955,1
1,39,6,2,7,4,1,1,1,5,1,2,108,1098,1
1,17,3,2,3,4,0,0,0,0,1,2,140,3,0
1,45,7,1,8,4,2,0,0,0,0,2,160,3,0
1,16,0,1,6,4,0,0,0,0,0,2,60,1,0
0,41,7,2,11,4,1,1,1,3,1,2,145,1,1
1,29,15,2,8,8,5,1,1,11,0,2,0,2284,1
0,26,2,2,5,3,0,0,0,0,1,2,276,2,0
1,39,3,2,9,4,4,1,1,14,0,2,383,1345,1
1,25,6,2,8,4,1,1,1,3,0,2,0,1,1
0,28,0,2,11,4,1,1,1,4,0,2,80,1,1
1,73,18,2,1,1,0,1,0,0,1,2,0,1,1
1,23,12,1,7,4,2,0,0,0,1,2,0,4001,0
0,27,1,2,1,1,0,0,1,1,0,2,92,301,0
0,19,9,2,13,8,1,1,1,7,0,2,96,1,1
0,26,0,2,8,4,0,0,0,0,0,3,184,1,1
1,32,0,1,2,4,4,0,0,0,1,2,460,1,0
0,23,9,2,11,4,2,1,1,10,0,2,80,991,0
0,23,1,2,11,4,0,0,0,0,1,2,120,810,0
1,23,13,2,8,4,0,0,1,2,0,2,0,5553,0
0,30,1,1,14,4,1,0,0,0,0,2,280,14,0
0,32,6,2,2,4,1,0,0,0,0,2,272,1,0
1,27,2,1,9,4,0,1,0,0,1,2,260,1066,1
1,19,11,2,8,5,1,0,1,2,1,2,200,8,0
1,36,2,2,9,4,0,0,1,2,0,2,220,2,0
1,19,0,2,11,4,1,0,0,0,0,2,160,2,0
0,29,4,2,8,4,1,1,1,1,1,2,371,1,1
1,34,4,2,3,5,3,1,1,2,0,2,274,611,1
0,33,3,1,6,4,2,0,0,0,0,2,180,1,0
1,54,10,2,10,4,9,1,1,5,0,2,0,1,1
1,25,1,2,6,4,1,0,0,0,0,2,200,1,0
1,32,2,1,4,1,0,0,0,0,0,2,120,1,0
0,21,5,1,1,1,0,0,0,0,0,2,0,1,0
0,57,16,2,5,1,0,1,1,15,0,2,0,248,1
1,32,0,1,8,8,3,1,1,1,1,2,432,8001,1
0,21,12,2,8,8,6,1,0,0,0,2,340,1,1
0,30,6,2,4,4,6,0,0,0,1,1,100,1,0
0,25,1,2,6,8,2,1,0,0,0,2,400,1,0
1,23,11,2,14,8,0,1,1,1,0,2,100,1,1
0,32,11,2,1,1,0,0,0,0,0,2,184,5201,0
0,32,1,2,13,4,0,1,0,0,0,2,440,11178,1
1,24,2,2,2,8,2,1,1,6,0,2,200,328,1
1,37,0,1,8,4,2,0,0,0,1,2,232,114,1
1,30,1,1,4,4,0,0,0,0,0,2,224,1,0
0,24,1,2,11,8,1,1,1,1,0,2,0,679,1
1,21,0,1,8,8,0,0,0,0,0,2,280,205,0
1,31,16,2,8,4,1,1,0,0,0,2,120,1,0
1,23,3,2,7,4,1,1,1,1,0,2,260,801,1
1,38,2,1,8,5,0,1,0,0,1,2,164,401,0
0,25,5,2,9,4,1,0,0,0,1,2,360,7,0
1,36,4,2,9,4,1,1,0,0,1,2,200,1,0
0,47,1,2,11,8,3,1,1,1,0,2,333,893,1
1,32,4,1,13,4,2,0,0,0,1,2,120,1,0
0,31,11,2,11,8,0,0,1,12,1,2,129,4,0
1,28,2,2,9,4,4,1,1,5,1,2,100,4,1
1,55,16,2,10,9,0,1,1,20,0,2,152,131,0
1,16,1,2,8,4,2,1,1,5,1,2,352,691,1
1,25,13,2,9,4,1,1,0,0,1,2,260,1,0
1,33,6,2,11,8,6,1,1,12,1,2,408,1001,1
1,30,1,2,8,4,2,1,1,11,0,2,32,541,1
1,22,0,2,4,4,0,0,0,0,1,2,280,56,0
1,42,1,2,14,4,3,1,0,0,0,2,510,601,1
1,37,2,2,3,4,0,0,0,0,1,2,221,1,0
1,26,13,2,13,4,1,0,0,0,0,2,0,3,0
1,30,2,2,8,8,4,1,0,0,0,2,260,201,1
1,20,0,2,11,4,0,0,0,0,0,2,200,1,0
1,20,0,2,11,4,2,1,1,2,1,2,80,1,1
1,51,0,2,14,8,0,1,0,0,0,2,0,3001,1
1,63,7,2,10,9,0,0,0,0,0,2,0,13,0
1,41,3,2,7,4,4,0,0,0,1,1,400,1,0
0,16,0,2,6,4,0,0,0,0,0,2,200,2,0
1,30,1,2,9,4,0,0,1,1,0,2,340,2804,0
1,34,5,2,6,4,1,1,0,0,1,2,240,1,0
0,72,0,2,8,4,0,0,0,0,0,3,184,1,1
1,42,0,2,3,8,5,1,0,0,0,2,400,1,1
0,23,11,1,11,4,3,1,0,0,1,2,268,1,0
1,24,2,2,10,2,0,0,1,2,0,2,320,1301,0
1,44,1,2,3,8,5,1,0,0,1,2,320,1,1
0,23,12,2,14,8,1,1,1,2,1,2,300,552,1
1,34,1,2,3,5,0,0,0,0,1,2,440,4501,0
